"<span class=thead>Предмет</span>";"<span class=thead>Задание на 23-27 сентября</span>"
"<span class=ttl1>День, когда ты умрёшь</span>";"<hr />"
"Физ.практикум	 ";"  "
"Право	 ";"  "
"Химия	 ";"Домашнего задания нет и не будет."
"Английский	 ";"  "
"Физика	 ";"Ибо нефиг не записывать."
"Алгебра	 ";"  "
"Геометрия	 ";"  "
"Русский	 ";"  "
"<span class=ttl1>Тлен</span>";"<hr />"
"Украинский	 ";"     "
"Мировая литература	";"  "
"Физика	 ";"     "
"История Украины	";"  "
"Всемирная история	";"  "
"Информатика (1)	";"     "
"<span class=ttl1>Безысходность</span>";"<hr />"
"Алгебра	 ";"     "
"География	 ";"  "
"Химия	 ";"     "
"Физика	 ";"     "
"Информатика (2)	";"     "
"<span class=ttl1>Суицид</span>";"<hr />"
"Геометрия	 ";"    "
"Допризывная подг. юношей";"  "
"Воен.-мед. подготовка";"  "
"Укр. лит.";"  "
"Биология	 ";"     "
"Физика	 ";"     "
"Инф.технологии	 ";"     "
"<span class=ttl1>Смерть</span>";"<hr />"
"Физ-ра	 ";"     "
"Биология	 ";"     "
"Экономика	 ";"     "
"География	 ";"     "
"Алгебра	 ";"     "
"Английский	 ";"Того, кто изменит что-либо в этой таблице ждёт неизбежная смерть."
