"<span class=thead>Предмет</span>";"<span class=thead>Задание на 30 сентября - 4 октября</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физ.практикум	 ";"---"
"Право	 ";""
"Химия	 ";""
"Английский	 ";""
"Физика	 ";""
"Алгебра	 ";""
"Геометрия	 ";""
"Русский	 ";""
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Украинский	 ";""
"Мировая литература	";""
"Физика	 ";""
"История Украины	";""
"Всемирная история	";""
"Информатика (1)	";"формально ничего"
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Алгебра	 ";""
"География	 ";""
"Химия	 ";""
"Физика	 ";""
"Информатика (2)	";"формально ничего (тем, кто успевает)"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Геометрия	 ";""
"Допризывная подг. юношей";"снова-таки усваивать конспект"
"Воен.-мед. подготовка";"то же"
"Укр. лит.";""
"Биология	 ";""
"Физика	 ";""
"Инф.технологии	 ";"формально ничего"
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физ-ра	 ";"формально ничего"
"Биология	 ";""
"Экономика	 ";""
"География	 ";""
"Алгебра	 ";""
"Английский	 ";""
