"<span class=thead>Предмет</span>";"<span class=thead>Задание на 14-18 октября</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физ.практикум	 ";" "
"Право	 ";" "
"Химия	 ";" "
"Английский	 ";" "
"Физика	 ";" "
"Алгебра	 ";" "
"Геометрия	 ";" "
"Русский	 ";" "
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Украинский	 ";" "
"Мировая литература	";" "
"Физика	 ";" "
"История Украины	";" "
"Всемирная история	";" "
"Информатика (1)	";" "
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Алгебра	 ";" "
"География	 ";" "
"Химия	 ";" "
"Физика	 ";" "
"Информатика (2)	";" "
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Геометрия	 ";" "
"Допризывная подг. юношей";" "
"Воен.-мед. подготовка";" "
"Укр. лит.";" "
"Биология	 ";" "
"Физика	 ";" "
"Инф.технологии	 ";" "
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физ-ра	 ";" "
"Биология	 ";" "
"Экономика	 ";" "
"География	 ";" "
"Алгебра	 ";" "
"Английский	 ";" "
