"<span class=thead>Предмет</span>";"<span class=thead>Задание на 13-17 января</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физ.практикум ";"видимо, не будет"
"Русский язык";"не задано"
"Химия ";"не задано"
"Английский ";"не задано"
"Физика ";"не задано"
"Алгебра ";"не задано"
"Геометрия ";"не задано"
"История Украины";"не было"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Укр. яз.";"не задано"
"Мировая литература";"читать ""Анну Каренину"" (желательно также и ""Войну и мир"")"
"Физика ";"конспект, Мякишев § 32-36<br />Рымкевич № 677, 678; Гельфгат № 7.6, 7.7, 7.16"
"Английский ";"выписать в словарь новые слова"
"Всемирная история";"не задано"
"Информатика (1)";"не задано"
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Алгебра ";"повторить графики и свойства обратных тригонометрических функций<br />учебник с. 314 (задания к §) № 2,3; с. 315 № 3"
"География ";"делать презентации, кому пришел черед"
"Химия ";"методичка с. 32-33, Березан 8.1.4, 8.1.8, 17.1"
"Физика ";"Гельфгат # 7.19, 7.22-7.26"
"Информатика (2)";"не задано"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Геометрия ";"учебник № 298, 300, 301"
"Защита Отечества";" "
"Укр. лит.";"читать произведения"
"Биология ";"синяя тетрадь с. 28-48"
"Физика ";" "
"Инф.технологии ";"не задано"
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физ-ра ";"формально не задано"
"Биология ";"синяя тетрадь с. 28-48"
"Экономика ";"не задано"
"Художественная культура";"не задано"
"Алгебра ";" "
"Английский ";" "
