"<span class=thead>Предмет</span>";"<span class=thead>Задание на 22-25 апреля</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Уроков нет";"Выходной по случаю Пасхи"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Украинская литература";""
"Мировая литература";""
"Физика ";""
"Всемирная история";""
"Информатика (1)";""
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Алгебра";""
"География ";""
"Химия ";""
"Физика ";""
"Информатика (2)";""
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Геометрия ";""
"Защита Отечества";""
"Украинская литература";""
"Украинский";""
"Биология ";""
"Физика ";""
"Инф.технологии ";""
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физ-ра ";""
"Экономика";""
"Биология";""
"Худ.культура ";""
"Алгебра ";""
"Английский ";""
