"<span class=thead>Предмет</span>";"<span class=thead>Задание на </span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физ.практикум ";"Пока что ничего"
"Русский ";"Досдать тетради с цитатами"
"Химия ";"Для Li,Na,K,Rb,Cs,Fr Записать в тетрадь 2 таблицы:""Строение атома"";""Физические свойства"";А также Учебник $20 №190-192(письменно)"
"Английский ";" "
"Алгебра ";"ВРЗА гл.3 №117,118,131,134,136,139"
"Геометрия ";"Лесенки 2 вариант с.68 №265-267,279"
"Физика ";"Не задано,была КР"
"Всемирная история";"Конспектировать в тетрадь ""Мюнхенский договор"";Читать $22,23,24"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Украинская литература";" Учить стихотворение"
"Мировая литература";"Готовить разбор персонажей по роману Гоголя ""Вишневый сад"""
"Физика ";" "
"История Украины";" Конспектировать в тетрадь""Предприятия индустриализации"""
"Информатика (1)";" Делать C#"
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Алгебра ";" "
"География ";"Готовить презентации дале по плану"
"Химия ";" "
"Физика ";" "
"Информатика (2)";"  Делать C#"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Геометрия ";" "
"Защита Отечества";" "
"Украинская литература";" "
"Украинский ";" "
"Биология ";" Читать $26-28По $26 готовиться писать диктант"
"Физика ";" "
"Инф.технологии ";"  Делать JavaScript"
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физ-ра ";" "
"Экономика ";" Записать примеры к таблице,написанной в классе+Написать эссе на тему:""Взаимосвязь политики и экономики"""
"Биология ";" "
"Худ.культура ";"Готовить доклады далее по плану"
"Алгебра ";" "
"Английский ";" "
