"<span class=thead>Предмет</span>";"<span class=thead>Задание на 2-5 сентября 2014</span>"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"История Украины";"не задано"
"Физкультура";"не задано"
"Мировая литература";"не задано"
"Физика";"не задано"
"Английский";"не задано"
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Биология";"не задано"
"Всемирная история";"не задано"
"Алгебра";"принести летнее домашнее задание по математике"
"Инф. технологии";"не задано"
"Информатика";"не задано"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Физика";""
"Алгебра";""
"Биология";""
"Укр. язык";"не задано"
"Геометрия";"не задано"
"Физический практикум";""
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физика";""
"Основы экономики";"не задано"
"Укр. лит.";"не задано"
"Защита Отечества";"не задано"
"Английский";""
