"<span class=thead>Предмет</span>";"<span class=thead>Задание на 21-26 сентября 2014</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Алгебра ";"учебник № 8.23(2,4,6), 8.29(2), 8.30, 9.4, 9.5"
"Геометрия ";"учебник № 266, 267; конспектировать с.85-87"
"Укр. лит.";"Выучить стихи ""О панно Інно"", ""Пам’яті тридцяти""; Готовиться к литературному диктанту по биографии Михайля Семенко"
"Химия ";"№12 из листочка "
"Физика ";"конспект; Рымкевич №417(3), 428, 429; Гельфгат-11 №1.25, 1.38, 1.41"
"Астрономия ";"конспект "
"Русский ";"упр.41 "
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"История Украины";"1942-1943 год войны хронологическая таблица"
"Физкультура ";"тренировать физические силы"
"Мировая литература";" "
"Физика ";" "
"Английский ";" "
"Химия ";" "
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Биология ";"до конца сентября сдать рефераты ""Беременность человека по неделям"" (расписать, что когда развивается у эмбриона и какие соотв. риски на каждом этапе) и ""Десять именных болезней"" (из них не менее 4 генетических, суть и причины каждой), объем - не более 4 страниц каждый"
"Всемирная история";"1944-1945 год войны хронологическая таблица"
"Алгебра ";" "
"Инф. технологии";" "
"Информатика ";" "
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Физика ";" "
"Алгебра ";" "
"Биология ";" "
"Укр. язык";" "
"Геометрия ";" "
"Физический практикум";" "
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физика ";" "
"Основы экономики";" "
"Укр. лит.";" "
"Защита Отечества";"тренировать физические силы"
"Английский ";" "
