"<span class=thead>Предмет</span>";"<span class=thead>Задание на 19-23 января 2015</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Алгебра ";"не задано"
"Геометрия ";"сборник Литвиненко № 288-290а,б, 293а, 298а, 300б, 301а, 304-306а, 308а, 309а, 313а, 317а, 319а,сделать все в тетради"
"Укр. лит.";"читати літературу"
"Химия ";"не задано"
"Физика ";"не задано"
"Русский ";"не задано"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"История Украины";"не задано"
"Мировая литература";"готовить презентации по поэтам Серебряного века тем, кто вызвался; остальным писать реферат про любого из них по плану:<ol><li>К какому направлению относится</li><li>Хронологическая табица жизни и творчесва</li><li>Анализ двух стихотворений (на выбор)</li></ol>"
"Физика ";"не задано"
"Английский ";"SBP. 54 слова, текст"
"Химия ";" "
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Биология ";"зарисовать в тетрадь таблицы на с. 105-106, реферат на 4 страницы по теме «Мутагенные факторы» (см. § 15 в учебнике)"
"Всемирная история";"не задано"
"Алгебра ";" "
"Инф. технологии";"не задано"
"Информатика ";"не задано"
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Физика ";" "
"Алгебра ";" "
"Биология ";" "
"Укр. язык";"не задано"
"Геометрия ";" "
"Физический практикум";"не будет (?)"
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физика ";" "
"Основы экономики";"не задано"
"Укр.лит. ";" "
"Защита Отечества";"не задано"
"Английский ";" "
