<span class=thead>Предмет</span>;<span class=thead>Задание на 26-30 января 2015</span>
<span class=ttl1>ПОНЕДЕЛЬНИК</span>;<hr />
Физика ;
Экология;
Укр. лит.;
Химия ;
Алгебра ;
Геометрия ;
Русский ;
<span class=ttl1>ВТОРНИК</span>;<hr />
Человек и мир;
Всемирная История;
Физкультура;не задано
Химия ;
Английский ;
Мир.лит.;реферат про какого-то из поэтов Серебрянного века (досдать до конца февраля)
Физика ;не будет
<span class=ttl1>СРЕДА</span>;<hr />
Биология ;"Реферат ""Основные направления современной биотехнологии, трансгенные и химерные организмы"" написать до 16 февраля"
История Украины;
Алгебра ;
Инф. технологии;не задано
Информатика ;не задано
<span class=ttl1>ЧЕТВЕРГ</span>;<hr />
Физика ;
Алгебра ;
Биология ;"Реферат ""Основные направления современной биотехнологии, трансгенные и химерные организмы"" написать до 16 февраля"
Укр. язык;
Геометрия ;
Физический практикум;не будет
<span class=ttl1>ПЯТНИЦА</span>;<hr />
Физика ;
Художественная культура;
Основы экономики;
Укр.лит. ;
Защита Отечества;не задано
Английский ;
