<span class=thead>Предмет</span>;<span class=thead>Задание на 2-6 марта 2015</span>
<span class=ttl1>ПОНЕДЕЛЬНИК</span>;<hr />
Физика ;
Экология ;
Укр. лит.;
Химия ;
Алгебра ;
Геометрия ;Учебник №542, 546, 551, готовиться к самостоятельной работе по цилиндру
Русский язык;
<span class=ttl1>ВТОРНИК</span>;<hr />
Человек и мир;
Всемирная История;
Физкультура ;не задано
Химия ;
Английский ;
Мир.лит. ;
Физика ;
<span class=ttl1>СРЕДА</span>;<hr />
Биология ;не задано
История Украины;
Алгебра ;
Информатика ;делать программы далее по плану
Инф. технологии;не задано
<span class=ttl1>ЧЕТВЕРГ</span>;<hr />
Физика ;
Алгебра ;
Биология ;
Укр. язык;не задано
Геометрия ;
Физический практикум;готовиться к выполнению работ (первая группа)
<span class=ttl1>ПЯТНИЦА</span>;<hr />
Алгебра ; 
Художественная культура;готовить доклады
Основы экономики;не задано
Укр.лит. ; 
Защита Отечества;не задано
Физика ; 
Английский ; 
