"<span class=thead>Предмет</span>";"<span class=thead>Задание на 18-22 февраля 2015</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Физика ";"не задано"
"Экология ";"не задано"
"Укр. лит.";"не задано"
"Химия ";"§35,36 №308"
"Алгебра ";"не задано"
"Геометрия ";"не задано"
"Русский язык";"не задано"
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"Человек и мир";" не задано"
"Всемирная История";" читать про культуру"
"Физкультура ";" не задано"
"Химия ";" решить нулевой вариант,подготовиться к контрольной работе"
"Английский ";" WB p.82-83"
"Мир.лит. ";" не задано"
"Физика ";" не задано"
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Биология ";" "
"История Украины";" "
"Алгебра ";" "
"Геометрия ";" "
"Информатика ";" "
"Инф. технологии";" "
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Физика ";" "
"Алгебра ";" "
"Биология ";" "
"Укр. язык";" "
"Геометрия ";" "
"Физический практикум";" "
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Алгебра ";" "
"Художественная культура";" "
"Основы экономики";" "
"Укр.лит. ";" "
"Защита Отечества";" "
"Физика ";" "
"Английский ";" "
